LISTADO GENERAL DE PRECIOS,C/U,GANA,V/U
BATIDORAS,$,$,$
ENGRANAJE  BATIDORA B&D MX45,"1,02","0,71","1,73"
ENGRANAJE  BATIDORA B&D /OSTER 2602,"1,02","0,71","1,73"
ENGRANAJE BATIDORA OSTER 2171,"1,02","0,71","1,73"
ENGRANAJE OSTER 2602/3170,"1,02","0,71","1,73"
ENGRANAJE OSTER DE METAL NACIONAL  79-B,"1,35","0,95","2,30"
ENGRANAJE OSTER 4450  ESTRIADO,"5,50","3,85","9,35"
ENGRANAJE SIN FIN ESTRIADO  ORIGINAL,"3,75","2,63","6,38"
ENGRANAJE SIN FIN LISO ORIGINAL,"3,75","2,63","6,38"
ENGRANAJE SIN FIN 2600  ROJO + BLANCO PAR  35-F,"4,49","3,14","7,63"
BOMBAS DE AGUA,,,
BOMBA DE AGUA  EXCELINE  GBP-060  1/2 HP  110V    IRB166802   2 AÑOS DE GARANTIA,"73,00","51,10","124,10"
CAPACITOR DE MARCHA  16 MFD,"1,45","1,02","2,47"
CAPACITOR DE MARCHA  20 MFD,"1,65","1,16","2,81"
CAPACITOR DE MARCHA  22 MFD,"1,75","1,23","2,98"
CAPACITOR DE MARCHA  30 MFD,"2,15","1,51","3,66"
CAPACITOR DE MARCHA  35 MFD,"2,45","1,72","4,17"
CAPACITOR DE MARCHA  40 MFD,"2,60","1,82","4,42"
CAPACITOR DE MARCHA  45 MFD,"2,99","2,09","5,08"
CAPACITOR DE MARCHA  50 MFD,"3,81","2,67","6,48"
CAPACITOR DE MARCHA  60 MFD,"4,00","2,80","6,80"
CAPACITOR DE MARCHA  70 MFD,"4,40","3,08","7,48"
CAPACITOR DE MARCHA  80 MFD,"5,00","3,50","8,50"
CAPACITOR DE MARCHA  100 MFD,"5,40","3,78","9,18"
CAPACITOR DE MARCHA  120 MFD,"5,60","3,92","9,52"
CAFETERAS,,,
ASA  DE 1    TAZA,"1,01","0,71","1,72"
"ASA  DE 3    TAZA   7,2 CM 61-K","1,12","0,78","1,90"
"ASA  DE 6    TAZA  9,6 CM  76-F","1,23","0,86","2,09"
ASA  DE 9  Y 12   TAZAS    93-H,"1,23","0,86","2,09"
EMBUDO DE 1 TAZA,"2,36","1,65","4,01"
EMBUDO DE 3 TAZA  18-E,"2,36","1,65","4,01"
EMBUDO DE 6 TAZA  C30-E,"2,36","1,65","4,01"
EMBUDO DE 9 TAZA  C07-C ,"2,36","1,65","4,01"
EMBUDO DE 12 TAZA  C-36,"2,36","1,65","4,01"
EMPACADURA DE 1 TAZA,"0,30","0,21","0,51"
EMPACADURA DE 3 TAZA,"0,45","0,32","0,77"
EMPACADURA DE 6 TAZA,"0,50","0,35","0,85"
EMPACADURA DE 9 TAZA,"0,68","0,48","1,16"
EMPACADURA DE 12 TAZA,"0,89","0,62","1,51"
DIODO TERMICO 250 C  110VAC 20 AMP  ,"1,20","0,84","2,04"
DIODO TERMICO CON TERMINALES  240 C  110VAC 10 AMP  ,"1,00","0,70","1,70"
DIODO TERMICO  REDONDO  112C  10 AMP  250V  ,"1,50","1,05","2,55"
